(c) Die Bundeswahlleiterin, Wiesbaden 2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datenlizenz Deutschland – Namensnennung – Version 2.0 (https://www.govdata.de/dl-de/by-2-0);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bundestagswahl 2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amtliches Endergebnis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nr;Gebiet;gehört zu;Wahlberechtigte;;;;Wählende;;;;Ungültige Stimmen;;;;Gültige Stimmen;;;;Sozialdemokratische Partei Deutschlands;;;;Christlich Demokratische Union Deutschlands;;;;BÜNDNIS 90/DIE GRÜNEN;;;;Freie Demokratische Partei;;;;Alternative für Deutschland;;;;Christlich-Soziale Union in Bayern e.V.;;;;Die Linke;;;;FREIE WÄHLER;;;;PARTEI MENSCH UMWELT TIERSCHUTZ;;;;Basisdemokratische Partei Deutschland;;;;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;;;;Die Gerechtigkeitspartei – Team Todenhöfer;;;;Piratenpartei Deutschland;;;;Volt Deutschland;;;;Ökologisch-Demokratische Partei - Die Naturschutzpartei;;;;Südschleswigscher Wählerverband;;;;Partei für Verjüngungsforschung;;;;Partei der Humanisten - Fakten, Freiheit, Fortschritt;;;;Bündnis C - Christen für Deutschland;;;;Bayernpartei;;;;Marxistisch-Leninistische Partei Deutschlands;;;;Menschliche Welt - für das Wohl und Glücklichsein aller;;;;Partei des Fortschritts;;;;Sozialistische Gleichheitspartei, Vierte Internationale;;;;Bürgerrechtsbewegung Solidarität;;;;BÜNDNIS DEUTSCHLAND;;;;Bündnis Sahra Wagenknecht - Vernunft und Gerechtigkeit;;;;MERA25 - Gemeinsam für Europäische Unabhängigkeit;;;;WerteUnion;;;;Übrige;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
150;Nordsachsen;914;158475;161279;158475;161279;126905;119206;126905;119206;1179;1541;851;1449;125726;117665;126054;117757;12554;22257;10560;24732;31398;26883;26171;23000;3090;5883;4308;5462;2684;10251;4012;12476;55024;32702;53911;32066;;;;;10502;9446;10081;8868;7092;4707;2753;3346;;;1484;2311;;1716;;1363;1523;2069;667;1333;;;;196;;;173;404;906;;483;170;;416;;240;;;;;;;;598;;;104;137;;;;88;;;;;;;52;76;;;;;;;;;;;;;;;;;953;;350;;;;10945;;;;;;;;;;;1335;;891
151;Leipzig I;914;225020;224100;225020;224100;183932;167696;183932;167696;970;1569;932;1277;182962;166127;183000;166419;21472;33588;18456;34748;39286;34107;31901;24953;13796;19778;19747;25848;3828;13397;5826;17660;45730;26450;46288;25891;;;;;39377;25436;38513;20884;2186;3296;1675;2645;;;2431;3800;;2275;;2204;2279;4242;1415;3021;;;;656;;;341;833;1809;;1550;660;;497;;306;;;;;;;;693;;896;200;427;;;;160;;;;;290;283;141;153;;;;;;;;;;;;;;;;;382;;309;;11727;;14207;;;;;;;;;;800;1882;;877
152;Leipzig II;914;232750;231178;232750;231178;195980;180880;195980;180880;817;1421;737;1043;195163;179459;195243;179837;16615;29731;21933;37634;31270;29538;30753;23561;19954;32995;31717;38264;3987;13271;6130;17439;36549;20667;36425;20213;;;;;71811;40938;46694;26472;2005;2591;1482;2188;;;1990;3489;;2786;;2564;2058;4374;1465;3307;;;;589;;923;296;881;;;1847;717;;635;;383;;;;;;;;438;407;573;256;402;;;;192;;;;;;273;96;197;;;;;;;;;;;;;;;;;394;;336;;10113;;13823;;;;;;;;;;;164;;907
153;Leipzig-Land;914;210845;212853;210845;212853;172244;162283;172244;162283;1220;2042;1064;1836;171024;160241;171180;160447;18676;31989;15098;34104;42046;39066;38113;32711;6053;8056;7869;9381;4395;15698;5854;18322;65318;39348;65867;38458;;;;;14944;12672;15004;12362;8207;6081;4369;3973;;;1973;3099;;3145;;2403;;3187;696;1743;;;;373;;;218;496;;;826;379;;480;;278;;;;;;;;897;486;;206;175;;;;186;;;;;;;72;87;;;;;;;;;;;;;;;;;;;307;;10899;;14708;;;;;;;;;;;519;;1020
154;Meißen;914;193052;197004;193052;197004;157184;149341;157184;149341;1486;1904;948;1747;155698;147437;156236;147594;11413;22771;11025;26045;37049;32924;31183;25912;6529;7590;7129;8872;8223;13727;5919;17212;70572;45705;68151;43940;;;;;14695;10344;12236;10725;5610;7271;2328;4312;;;1824;2634;;2769;;2341;;3149;674;1754;;;;321;;;249;581;;;820;340;;943;;405;;;;;;;;713;;;111;187;;;;188;;;;;;;57;77;;;;;;;;;;;;;;;;;1607;;664;;;;13866;;;;;;;;;;;244;;1035
155;Bautzen I;914;200639;206895;200639;206895;161774;159233;161774;159233;1558;2098;1147;2145;160216;157135;160627;157088;11384;21006;10373;26674;38643;40929;32190;29213;3484;4090;4692;6247;4199;12634;5002;17187;77339;52492;73912;50050;;;;;15654;14134;12468;12272;8050;5341;3058;4157;;;1923;2951;;2644;;2296;;3398;801;2104;;;;330;;;235;542;;;472;320;;;;251;;;;;;;;957;;;112;171;;;;256;;;;;;;53;69;;;;;;;;;;;;;;;;;1463;;642;;;;14694;;;;;;;;;;;467;;1041
156;Görlitz;914;196873;204105;196873;204105;155057;153057;155057;153057;1280;2234;1117;2064;153777;150823;153940;150993;9626;18928;9815;25441;37197;39299;30407;27630;4659;6182;5160;7358;2952;11222;4484;15039;75147;53970;71855;49123;;;;;9795;11835;11900;11327;3588;4588;2354;3645;;;1960;3259;;4115;;2583;;;678;1428;;;;331;;;247;540;;;440;338;;;;177;;;;;;;;1045;;;136;185;;;;456;;;;;;;62;106;;;;;;;;;;;;;;;;;981;;618;;9832;;13824;;;;;;;;;;;684;;982
157;Sächsische Schweiz-Osterzgebirge;914;196612;199703;196612;199703;160372;154159;160372;154159;1630;2120;955;2005;158742;152039;159417;152154;12766;17505;9505;23545;35961;29176;30820;26028;4751;6830;6318;8023;4478;12920;5170;17814;77901;50203;74174;48580;;;;;14523;15215;11716;11653;7008;8450;2852;5039;;;1775;2864;;3161;;2945;;;617;1276;;;;373;;;229;618;;;822;450;;848;;396;;;;;;;;929;;;128;247;;;;223;;;;;;;48;66;;;;;;;;;;;;;;;;;1354;;600;;;;14643;;;;;;;;;;;7731;;1085
158;Dresden I;914;225103;228643;225103;228643;184922;181120;184922;181120;1857;1577;846;1394;183065;179543;184076;179726;21457;26271;18241;34125;50040;37811;36585;27710;19899;17137;22545;27369;6229;18588;7082;21989;53853;33780;50386;32122;;;;;26085;33872;25445;18910;;;1508;2967;;;1960;3014;;2527;;2645;;3684;1130;2568;;;;769;;2011;451;1313;3482;;2269;928;;1164;;760;;;;;;;;815;;763;234;495;;477;;359;;;;;;227;87;130;;;;;;;;;;;;;;;;;2020;;679;;;;15474;;;;;;;;;;;1231;;738
159;Dresden II – Bautzen II;914;233483;234432;233483;234432;196333;189409;196333;189409;1555;1649;877;1404;194778;187760;195456;188005;18245;28700;16601;30620;47107;35014;35306;26037;22140;25527;25517;31265;5130;20711;6947;22884;58238;34979;55900;36003;;;;;31961;22160;31001;20913;3253;3309;1883;3464;;;2046;3271;;3726;;3661;3145;4292;1412;3252;;;;607;;2694;514;1709;3724;;2142;900;;1054;;641;;;;;;1366;;1099;;;222;424;;;;256;;;;;337;298;102;150;;;;;;;;;;;;;;210;;;1498;;614;;;;15249;;;;;;;;;;;3720;;849
160;Mittelsachsen;914;188107;193828;188107;193828;148354;147733;148354;147733;1326;2005;867;1741;147028;145728;147487;145992;13321;25727;11145;27000;39665;34638;30403;25603;3680;5398;5172;6822;4284;14420;4676;16897;66688;48725;64094;43821;;;;;13234;12164;11800;11687;6156;;2966;3206;;;1525;2860;;3397;;2446;;;561;1366;;;;292;;;182;514;;;575;336;;1259;;549;;;;;;;;774;;;146;246;;;;281;;;;;;;43;86;;;;;;;;;;;;;;;;;;;275;;;;13924;;;;;;;;;;;0;;1206
161;Chemnitz;914;183295;188691;183295;188691;144921;140700;144921;140700;774;1371;692;1121;144147;139329;144229;139579;24128;34958;15988;32616;30868;25801;28001;20713;6554;9934;9579;12680;3314;13934;4524;15781;46401;30502;47112;30089;;;;;14349;15229;17648;15008;2066;;1404;1997;;;1817;2620;;2492;;2097;1511;3997;909;2280;;;;311;;;206;440;845;;803;346;;679;;359;;;;;;;;609;365;;213;296;;;;378;;;;;;;73;90;;;;;;;;;;;;;;;;;556;;441;;13190;;15511;;;;;;;;;;;1803;;869
162;Chemnitzer Umland – Erzgebirgskreis II;914;172020;177211;172020;177211;140055;137423;140055;137423;1873;1664;850;1441;138182;135759;139205;135982;16139;23181;11899;27518;38304;32111;29538;24662;3828;5617;4523;6138;4655;11872;4416;15117;61027;39264;57239;37181;;;;;14229;11330;10864;11166;;6642;2813;4477;;;1606;2527;;2213;;1816;;2724;581;1664;;;;266;;;179;362;;;450;160;;805;;381;;;;;;;;581;;;126;171;;;;708;;;;;;;32;52;;;;;;;;;;;;;;;;;;;392;;;;14547;;;;;;;;;;;0;;1035
163;Erzgebirgskreis I;914;202990;210941;202990;210941;164320;161756;164320;161756;1683;2261;1503;2121;162637;159495;162817;159635;10741;23650;10740;28848;40716;40550;33584;31340;2597;4001;3646;5194;3579;11914;4798;16210;75876;50571;75153;48794;;;;;11121;12787;11360;12078;5544;8210;3780;5079;;;1897;2966;;2313;;1958;;2422;574;1650;;;;323;;;177;397;;;392;248;;;;256;;;;;;;;673;;;102;150;;2069;;1940;;;;;;;53;58;;;;;;;;;;;;;;;;;;;530;;10288;;16031;;;;;;;;;;2175;1008;;1473
164;Zwickau;914;189565;197831;189565;197831;150838;147142;150838;147142;1198;1854;960;1596;149640;145288;149878;145546;14837;24094;13377;30718;35506;30798;31886;27024;3485;5988;4910;7134;4279;13991;4500;15431;59725;37135;60795;36601;;;;;11214;22583;12797;13629;4712;6105;2568;4004;;;1762;3093;;3975;;2720;1772;;832;1483;;;;244;;;159;463;;;498;191;;474;;310;;;;;;;;579;;;88;133;;;;679;;;;;145;;81;92;;;;;;;;;;;;;;;;;458;;369;;13507;;15256;;;;;;;;;;;145;;1018
165;Vogtlandkreis;914;177951;184973;177951;184973;141586;137816;141586;137816;1596;2065;859;1673;139990;135751;140727;136143;13975;26413;12388;30436;37770;37637;30406;26782;4526;6378;4437;6263;3413;11512;4096;13708;60672;36388;57139;34112;;;;;13336;12655;10935;12058;6298;;2346;2155;;;1770;3181;;2339;;2048;;;680;1676;;;;248;;;162;340;;;352;191;;970;;364;;;;;;;;652;;;88;157;;;;779;;;;;;;64;73;;;;;;;;;;;;;;;;;;;309;;;;15555;;;;;;;;;;;1459;;920
914;Sachsen;999;3186780;3253667;3186780;3253667;2584777;2488954;2584777;2488954;22002;29375;15205;26057;2562775;2459579;2569572;2462897;247349;410769;217144;474804;612826;546282;507247;422879;129025;171384;167269;212320;69629;220062;83436;271166;986060;632881;958401;607044;;;;;326830;282800;290462;230012;71775;66591;40139;56654;;;29743;47939;;45593;;38090;12288;37538;13692;31905;;;;6229;;5628;4018;10433;10766;;14741;6674;;10224;;6056;;;;;;1366;;12052;1258;2232;2472;4003;;2546;;7129;;;;;772;1081;1116;1562;;;;;;;;;;;;;;210;;;11666;;7435;;79556;;232257;;;;;;;;;;2975;22392;;15946
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
166;Waldeck;906;180475;184073;180475;184073;150082;138130;150082;138130;1642;2140;1370;2087;148440;135990;148712;136043;41883;51613;33995;49064;46166;35734;42777;30392;10559;13581;12718;14775;4863;12062;5921;15288;31701;12536;31360;12899;;;;;8462;4208;9116;4441;4806;3763;2494;2791;;;2154;1946;;1626;;1528;;;657;964;;;;374;;;;452;;;624;223;;;;106;;;;;;;;218;;;119;87;;;;114;;;;;;;38;40;;;;;;;;;;;;;;;;;;;234;;;;6505;;;;;;;;;;;867;;341
167;Kassel;906;214132;218474;214132;218474;175165;162809;175165;162809;2070;2213;1571;1980;173095;160596;173594;160829;47900;57919;38766;51812;42004;32765;38989;28183;24338;27744;25226;30348;4735;12966;6238;16448;28126;11348;27359;12141;;;;;20203;9357;21330;10518;2934;2563;1518;1824;;;2364;2346;;2012;;1854;;2876;856;1673;;;;1159;;;;694;2489;;1276;442;;;;175;;;;;;;;215;;;118;180;;299;;217;;;;;366;244;126;133;;;;;;;;;;;;;;;;;;;236;;;;9192;;;;;;;;;;;503;;467
168;Werra-Meißner – Hersfeld-Rotenburg;906;167770;171886;167770;171886;138607;130905;138607;130905;1639;1865;1419;1879;136968;129040;137188;129026;38010;56383;30447;48579;44173;34527;38984;27867;7357;8032;9948;11595;3326;7135;5252;12807;30926;14204;31857;14899;;;;;7246;3890;8570;4524;3961;3160;2779;2734;;;1744;1776;;1430;;1344;;;593;988;;;;198;;;;343;1367;;959;313;;;;121;;;;;;;;210;;;78;81;;;;204;;;;;;;27;35;;;;;;;;;;;;;;;;;;;208;;;;5742;;;;;;;;;;602;279;;408
169;Schwalm-Eder;906;182420;185944;182420;185944;153589;141494;153589;141494;1871;2240;1548;2323;151718;139254;152041;139171;42943;54792;34063;50100;45647;33443;41679;29913;8705;12360;11875;14089;4329;12234;6171;15422;36357;14380;36110;15047;;;;;7974;3761;8625;4411;5763;4112;3073;3440;;;2271;1996;;1451;;1396;;2024;725;1209;;;;270;;;;504;;;609;215;;;;126;;;;;;;;251;;;92;92;;262;;233;;;;;;;26;15;;;;;;;;;;;;;;;;;;;200;;;;6522;;;;;;;;;;;435;;442
170;Marburg;906;179872;181588;179872;181588;152353;141581;152353;141581;1186;1503;967;1312;151167;140078;151386;140269;45774;51630;31104;42098;44014;36528;39799;31042;13738;18709;19599;22347;3481;9334;5910;14789;27633;12591;27521;12558;;;;;11452;6588;16006;8089;2642;2178;1877;1767;;;1689;1863;;2146;;1828;;;651;1178;;;;497;;;;453;1496;;946;434;;;;291;;;;;;;;177;;;116;133;;;;275;;;;;;;32;23;;;;;;;;;;;;;;;;;;;213;;;;5923;;;;;;;;;;937;374;;427
171;Lahn-Dill;906;203567;206532;203567;206532;166049;153384;166049;153384;1655;2339;1373;1984;164394;151045;164676;151400;39533;49923;31084;44546;56424;45441;49667;37725;11201;13754;14467;16957;4544;12060;6700;17327;37998;15816;37485;17513;;;;;8677;4756;10932;5102;3807;4579;2415;3051;;;2252;2240;;2040;;1946;;2417;1023;1636;;;;720;;;;449;2210;;1179;399;;;;238;;;;;;;;239;;;97;119;;;;524;;;;;;;38;17;;;;;;;;;;;;;;;;;;;273;;;;7064;;;;;;;;;;;259;;652
172;Gießen;906;215142;217514;215142;217514;178656;161919;178656;161919;1718;2144;1408;2217;176938;159775;177248;159702;49204;48514;33234;44046;53851;47283;47076;36201;15276;21249;21926;26109;4906;12109;7410;17106;33541;14496;33917;14836;;;;;12444;6339;17359;8028;5122;4595;3043;3697;;;2194;2301;;1954;;1892;;3003;1080;1818;;;;632;;;;555;2594;;1551;898;;;;251;;;;;;;;216;;;210;211;;;;251;;;;;;;51;34;;;;;;;;;;;;;;;;;;;284;;;;7913;;;;;;;;;;;233;;620
173;Fulda;906;206544;208542;206544;208542;174948;163560;174948;163560;1451;1895;1270;1856;173497;161665;173678;161704;23675;35168;22300;36343;75039;61573;65243;50312;11460;13833;13195;16324;5969;13894;8517;20528;39790;24508;40951;21443;;;;;7262;4648;9093;4447;6093;4442;3943;3136;;;1648;2007;;2619;;2458;1607;;790;1326;;;;399;;;;442;1902;;1263;961;;;;189;;;;;;;;231;;;115;130;;460;;468;;;;;;;22;20;;;;;;;;;;;;;;;;;700;;355;;;;6243;;;;;;;;;;;520;;540
174;Main-Kinzig – Wetterau II – Schotten;906;175443;178307;175443;178307;146914;137070;146914;137070;1610;2186;1287;2033;145304;134884;145627;135037;29795;41160;23747;36943;49611;37118;44471;32685;10738;12691;12824;15009;4755;15098;6775;17046;36231;17586;36171;17079;;;;;7064;4078;8357;4308;4511;4939;2769;3435;;;2200;2579;;2214;;1873;;;793;1255;;;;356;;;;584;1722;;979;452;;;;137;;;;;;;;263;;;101;124;;;;146;;;;;;;37;25;;;;;;;;;;;;;;;;;877;;345;;;;6058;;;;;;;;;;;0;;738
175;Hochtaunus;906;178433;179842;178433;179842;152705;144012;152705;144012;1346;1556;1001;1330;151359;142456;151704;142682;29458;38424;25251;35171;57261;44549;50934;37331;18418;21769;19814;22486;7275;16132;9963;21996;25045;10709;24855;11156;;;;;8108;3772;9353;4441;3299;3369;1828;2246;;;1773;2026;;2347;;1880;;;629;1053;;;;533;;1385;;739;2495;;1292;594;;;;127;;;;;;;;200;;;120;148;;;;113;;;;;;;31;12;;;;;;;;;;;;;;;;;;;216;;;;5645;;;;;;;;;;;0;;430
176;Wetterau I;906;176870;176897;176870;176897;149796;138935;149796;138935;1441;2010;1163;1678;148355;136925;148633;137257;38192;40618;26144;35909;49929;38807;45704;32419;14407;18996;19686;21917;5766;15000;7963;19043;25930;11318;25828;11680;;;;;7726;3904;10598;4905;3830;4238;2377;2812;;;1990;2255;;2411;;1915;;;824;1153;;;;637;;1633;;771;2575;;1425;559;;;;145;;;;;;;;230;;;130;139;;;;114;;;;;;;29;22;;;;;;;;;;;;;;;;;;;221;;;;5714;;;;;;;;;;;0;;632
177;Rheingau-Taunus – Limburg;906;217091;220466;217091;220466;182782;172247;182782;172247;1718;2267;1201;1765;181064;169980;181581;170482;40101;48441;30840;43708;66648;51318;60697;44413;19472;24418;22141;25328;7660;18126;10177;23745;31379;13547;31947;14523;;;;;9026;4563;11453;5395;3890;6103;2174;3466;;;2363;2772;;2671;;2386;;;915;1357;;;;546;;;;661;2888;;1647;830;;;;159;;;;;;;;245;;;147;186;;332;;220;;;;;;;36;24;;;;;;;;;;;;;;;;;;;313;;;;6731;;;;;;;;;;;461;;518
178;Wiesbaden;906;186038;186735;186038;186735;148215;136214;148215;136214;1453;1607;1006;1348;146762;134607;147209;134866;32697;34750;25711;33546;44997;35375;39190;28523;21876;25811;23494;26818;5944;13995;8234;18947;20406;9192;20737;9588;;;;;15408;6652;16939;7128;2317;1602;1244;1411;;;1504;1651;;2327;;1911;;1559;694;1049;;;;1367;;742;;525;3117;1904;1775;1324;;;;139;;;;;;;;152;;472;173;252;;;;112;;;;;;;61;34;;;;;;;;;;;;;;123;;;;;203;;;;7250;;;;;;;;;;;103;;389
179;Hanau;906;175243;176271;175243;176271;143429;131412;143429;131412;1530;2036;1169;1760;141899;129376;142260;129652;35906;40291;26049;35739;45346;36019;40878;29223;12134;15995;15482;18258;5177;13106;7024;17158;27150;13364;27409;13257;;;;;10745;4462;12169;4948;3340;3308;1715;2180;;;2071;2504;;1998;;1549;;;733;1186;;;;1349;;;;555;2101;;1211;535;;;;150;;;;;;;;254;;;116;177;;;;85;;;;;;;45;32;;;;;;;;;;;;;;;;;;;236;;;;7122;;;;;;;;;;;833;;513
180;Main-Taunus;906;193390;195514;193390;195514;165885;157718;165885;157718;1321;1782;1028;1437;164564;155936;164857;156281;29238;35493;25838;34468;65495;51985;57897;42260;23001;26373;23889;26771;8847;20295;12190;26335;21541;10588;21894;10427;;;;;9860;4272;10901;4708;2962;4179;1661;2471;;;1655;2042;;;;1871;;2751;699;1253;;;;1143;;;;510;2691;;1598;1012;;;;163;;;;;;;;209;;;132;154;;;;93;;;;;;;52;31;;;;;;;;;;;;;;;;;929;;418;;;;6033;;;;;;;;;;;0;;360
181;Frankfurt am Main I;906;202372;201216;202372;201216;160179;145010;160179;145010;1547;1507;1159;1247;158632;143503;159020;143763;40832;41604;27189;32499;41232;31163;37384;25915;25756;26922;28697;33821;7418;16369;10541;21361;17067;7909;17092;7846;;;;;20329;12562;24476;10384;1465;2094;856;1184;;;1370;1716;;2052;;1597;1693;;801;1389;;;;2496;;;;645;2517;2685;1892;1734;;;;118;;;;;;;;179;;;156;210;;;;133;;;;;323;143;101;72;;;;;;;;;;;;;;;;;;;192;;;;8273;;;;;;;;;;;0;;464
182;Frankfurt am Main II;906;230870;227207;230870;227207;191532;175004;191532;175004;1467;1752;1100;1353;190065;173252;190432;173651;35101;40431;32751;38777;52010;38995;47445;31660;50207;50230;39455;44370;8773;19766;12531;25530;17449;7990;17794;8188;;;;;18780;10629;25761;11901;1500;2478;963;1512;;;1408;1754;;2547;;1923;1849;;977;1565;;;;1965;;;;686;3201;;2346;2674;;;;128;;;;;;;;190;;;170;190;;;;134;;;;;225;186;67;48;;;;;;;;;;;;;;;;;534;;279;;;;8485;;;;;;;;;;436;0;;456
183;Groß-Gerau;906;172314;174082;172314;174082;140680;129261;140680;129261;1682;1925;1253;1677;138998;127336;139427;127584;40121;42598;27976;37973;42181;35334;37900;27301;11195;14890;15831;18928;4667;10726;6267;14999;22816;10880;23608;11246;;;;;12390;5047;13876;5394;3442;3470;1815;2478;;;1938;2163;;1834;;1462;;2430;812;1387;;;;1998;;;;545;1896;;1076;469;;;;137;;;;;;;;214;;;146;175;;;;157;;;;;290;127;85;81;;;;;;;;;;;;;;;;;;;209;;;;7888;;;;;;;;;;;0;;477
184;Offenbach;906;218352;219511;218352;219511;174373;158052;174373;158052;1846;2331;1408;2238;172527;155721;172965;155814;38384;41035;30178;38799;53821;43347;47974;35754;25416;26229;22646;27062;6606;14828;9360;20625;26300;11851;26232;12098;;;;;17841;7497;19893;7787;4159;3733;1839;2336;;;2220;2242;;2481;;2178;;2029;858;1380;;;;2429;;1157;;849;;1534;1539;1178;;;;128;;;;;;;;225;;;147;163;;;;96;;;;;;;67;26;;;;;;;;;;;;;;;;;;;243;;;;9769;;;;;;;;;;;0;;459
185;Darmstadt;906;239490;240763;239490;240763;202987;188916;202987;188916;1726;2462;1252;1888;201261;186454;201735;187028;42398;51046;37368;49273;53802;42351;48720;34472;43629;44364;38495;41948;6626;17192;9664;22256;27391;11210;27443;12194;;;;;15384;9332;22541;10764;2038;3237;1388;2139;2772;;2246;2626;;3129;;2679;1855;3680;1142;1984;;;;1450;;;;846;5122;;3115;2583;;;;302;;;;;;;;226;;;249;292;;;;351;;;;;244;269;86;107;;;;;;;;;;;;;;;;;;;287;;;;8991;;;;;;;;;;;644;;536
186;Odenwald;906;230672;233901;230672;233901;194831;179830;194831;179830;2207;3020;1617;2704;192624;176810;193214;177126;47730;57172;35036;49518;65470;49367;59338;42857;17327;21630;21756;24694;6825;17110;9540;22433;35564;14963;36237;15983;;;;;11704;5991;13739;6333;5264;5003;2736;3322;;;2982;3213;;3699;;3171;;;1022;1545;;;;846;;;;727;2740;1602;1738;948;;;;202;;;;;;;;289;;;144;155;;;;196;;;;;;;66;57;;;;;;;;;;;;;;;;;;;302;;;;8578;;;;;;;;;;;273;;637
187;Bergstraße;906;195419;197782;195419;197782;164877;153176;164877;153176;1676;1926;1230;1733;163201;151250;163647;151443;34219;41124;28439;41124;59209;46125;51096;37064;14917;20955;18346;21457;6289;16175;8475;20432;33328;14351;32971;14377;;;;;8822;4149;9971;4629;3650;4287;2060;2723;;;2480;3029;;2748;;2465;;;837;1221;;;;533;;;;617;2767;;1502;491;;;;151;;;;;;;;258;;;138;153;;;;176;;;;;;;47;18;;;;;;;;;;;;;;;;;;;273;;;;7012;;;;;;;;;;;1336;;525
906;Hessen;999;4341919;4383047;4341919;4383047;3608634;3340639;3608634;3340639;35802;44706;27800;39829;3572832;3295933;3580834;3300810;843094;1000129;657510;910035;1154330;909147;1033842;753512;411127;480535;451510;521411;128781;315712;180823;421621;633669;285337;636778;290978;;;;;256907;130457;311058;142585;80795;81432;46567;56155;2772;;44516;49047;;47736;;43106;7004;22769;18111;29569;;;;21897;;4917;;13152;47890;7725;31542;19268;;;;3683;;;;;;;;4891;;472;3014;3551;;1353;;4412;;;;;1448;969;1170;906;;;;;;;;;;;;;;123;;;3040;;5740;;;;158653;;;;;;;;;;1975;7120;;11031
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
188;Eichsfeld – Nordhausen – Kyffhäuserkreis;916;206544;213593;206544;213593;165873;158017;165873;158017;1355;2041;1160;1852;164518;155976;164713;156165;14361;34589;14094;37879;45728;41974;38445;34804;3000;6019;4429;7334;3815;10622;4885;14099;65033;35349;64146;35028;;;;;19527;16784;21894;15357;;4112;1702;2936;;;;2070;;2173;;2025;;3113;;1696;;;;214;;;;492;;;485;280;;871;;495;;;;;;;;;;;;121;;;;;;;;;342;370;174;257;;;;366;;;;;;;;;;;;;;;374;;12712;;14085;;;;;;;;;;;0;;712
189;Eisenach – Wartburgkreis – Unstrut-Hainich-Kreis;916;201183;207877;201183;207877;159955;152584;159955;152584;1306;2062;1247;1850;158649;150522;158708;150734;18892;36150;14826;37766;35936;34040;31218;27107;3882;5329;4733;7311;2345;8595;4053;12854;61095;37462;64061;37005;;;;;16030;17018;20763;15681;3765;5398;2912;3772;;;;2205;;2963;;2513;;2465;;1621;;;;223;;;;549;;;675;337;;545;;290;;;;;;;;;;;;125;;;;;;;;;338;427;235;296;;;;370;;;;;;;;;;;;;;;379;;12824;;14853;;;;;;;;;;3542;130;;709
190;Jena – Sömmerda – Weimarer Land I;916;194202;198697;194202;198697;161207;154163;161207;154163;1119;1912;926;1588;160088;152251;160281;152575;18734;30673;14496;34195;29661;28170;27799;23869;9587;14656;12157;16709;3655;10686;4921;14070;52003;29578;52020;30263;;;;;31247;25741;29918;19505;3415;6018;2238;3712;;;;2108;;2364;;2349;;3816;;2143;;;;342;;;;859;;;1422;723;;;;217;;;;;;;;;;;;238;;;;;;;;;333;341;239;271;;;;318;;;;;;;;;;;;;;;367;;11453;;14704;;;;;;;;;;;208;;684
191;Gotha – Ilm-Kreis;916;184279;190519;184279;190519;147985;142566;147985;142566;1353;1982;1157;1918;146632;140584;146828;140648;14681;33085;12958;33437;29345;25918;25908;21820;4403;6498;5151;8100;2998;9494;3904;12126;60354;37249;59557;36522;;;;;18753;15579;21965;15454;3236;5622;2449;3810;;;;2168;;2435;;2351;;2783;;1791;;;;297;;;;759;;;698;468;;;;162;;;;;;;;;;;;173;;;;;;;;;;411;178;235;;;;405;;;;;;;;;;;;;;;464;;11660;;13596;;;;;;;;;;1202;1510;;570
